username,comment_count,avg_comment_length,avg_sentiment,user_type
3yna4_,1,21.0,0.0,casual
Meta,4,13.25,0.0,super_active
__dafarai,1,30.0,0.0,casual
_bagasftr98,1,55.0,0.0,casual
_denbaguss,1,90.0,0.0,casual
abcdefauzijklmn,1,21.0,0.0,casual
about.skye,1,57.0,0.44,casual
achid_fdlh,1,37.0,0.0,casual
adeiansupriatna,1,71.0,0.0,casual
adhepranata,1,54.0,0.0,casual
adliirwnsyah,1,20.0,0.0,casual
adtymlna22,1,23.0,0.0,casual
afahrezar,1,7.0,0.0,casual
agsptraaa._,1,128.0,0.44,casual
agungmasofi_,1,72.0,0.0,casual
ahnafyumna_,1,14.0,0.0,casual
akbarstwnz,1,15.0,0.318,casual
ali_ingsun,1,21.0,0.0,casual
alimardian21,1,20.0,0.0,casual
alinaloey_,1,14.0,0.0,casual
amsalmaulanaa,1,28.0,0.0,casual
anasnasrudin_,1,61.0,0.0,casual
anggiriskiy,1,40.0,0.44,casual
anwarstrong,1,52.0,0.0,casual
anwrh_,1,31.0,0.0,casual
apexz_07,1,145.0,0.0,casual
ari.ptra_,1,15.0,0.0,casual
ariawaaan_,1,14.0,0.0,casual
arie_intan,1,46.0,0.0,casual
aswarabdullh_,1,30.0,0.0,casual
avip.hans,1,78.0,0.0,casual
azmwhyfaa_,1,22.0,0.0,casual
backpackerkusam_,1,83.0,0.0,casual
bacotcerdas70,1,17.0,0.0,casual
badruuunnn_,1,14.0,0.44,casual
bakrieariezal,1,93.0,0.0,casual
bayu.k__,1,35.0,0.0,casual
billwayd,1,38.0,0.0,casual
blue_rider27,1,31.0,0.0,casual
brojons129,1,20.0,0.0,casual
cantigiii__,1,16.0,0.0,casual
davidfjr77,1,39.0,0.0,casual
dawardatul,1,29.0,0.0,casual
dibilbebasmerdeka_,1,21.0,0.0,casual
dzawin_nrr,1,74.0,0.0,casual
ehs4min,1,63.0,0.0,casual
elfarhani99,1,34.0,0.0,casual
elfs_active,1,15.0,0.318,casual
elzyjazayantim,1,52.0,0.0,casual
eve_sofiaty,1,25.0,0.0,casual
fanan_bin_misbah,1,34.0,0.0,casual
fauzanayy_,1,10.0,0.0,casual
ferdi.nw,1,23.0,0.0,casual
fiiq_fx,1,16.0,0.0,casual
fitrahmarafa,1,25.0,0.0,casual
hamdanasy_,1,23.0,0.0,casual
heeengkii,1,42.0,0.0,casual
hei.dita,1,23.0,0.0,casual
heri_dollphin,1,72.0,0.0,casual
heyhendri___,1,19.0,0.0,casual
hildaanlm.rr,1,23.0,0.0,casual
iamumarfadil,1,9.0,0.0,casual
ikhsan.srf,1,57.0,0.0,casual
ilhsam_,1,8.0,0.0,casual
irfanasdi,1,16.0,0.0,casual
jamlud_in,1,26.0,0.0,casual
kang_tono_uf,1,46.0,0.0,casual
kenalingivi,1,37.0,0.0,casual
kkhputraaa_,1,28.0,0.0,casual
klitikansemarang,1,15.0,0.0,casual
knsnadsn,1,44.0,0.0,casual
kukuhwinarko_15,1,45.0,0.0,casual
lembangputra1,1,13.0,0.0,casual
lompobattang_mountain2874,1,39.0,0.0,casual
lupeek_,1,62.0,0.0,casual
mahaasigmaaa,1,38.0,0.0,casual
maliq555555,1,77.0,0.0,casual
melukissenjakemarin,1,17.0,0.0,casual
mferyrfldy,1,20.0,0.0,casual
mhmmadfikri.v,1,15.0,0.318,casual
modbooster_id,1,33.0,0.0,casual
mstfaji33,1,21.0,0.0,casual
muh_fuadwhydi,1,58.0,0.0,casual
muhambimoooo,1,22.0,0.0,casual
muhammadfadjri_,1,13.0,0.0,casual
muhd.akbarr,1,50.0,0.0,casual
nafiisss___,1,32.0,0.0,casual
ndyoktyn,1,11.0,0.0,casual
nrikarhm12,1,34.0,0.0,casual
nunungagustia,1,20.0,0.0,casual
pal_ganzz1,1,33.0,0.0,casual
pradika_kusuma_raharjo_,1,53.0,0.0,casual
radityabhirawa,1,66.0,0.0,casual
raf_wldn,1,42.0,0.0,casual
rangganee_70,1,30.0,0.0,casual
ranianggraeniii__,1,32.0,0.0,casual
rdiarb,1,82.0,0.0,casual
rdilhamm_,1,21.0,0.0,casual
renhd19,1,15.0,0.0,casual
rhmaanjaniii,1,43.0,0.0,casual
richardferdyn_,1,11.0,0.0,casual
rielstuf,1,20.0,0.0,casual
rifkiardnss,1,32.0,0.0,casual
rikihidayat13_,1,25.0,0.0,casual
riswanto_kuncung,1,61.0,0.0,casual
riyandika191,1,24.0,0.0,casual
rizkprstyo36,1,22.0,0.0,casual
rndyytraa,1,52.0,0.0,casual
ryand.webdev,1,8.0,0.0,casual
rydharsy_,1,22.0,0.0,casual
sae_marno,1,85.0,0.0,casual
salmaaa_rn,1,20.0,0.0,casual
sanpalam.official,1,126.0,-0.511,casual
sheihelo_,1,22.0,0.0,casual
sofarii04slamett,1,38.0,0.0,casual
sonsnstrsn,1,49.0,0.0,casual
srie_april_rahmadani,1,38.0,0.0,casual
syaputra.7,1,46.0,0.0,casual
t.yudiii,1,25.0,-0.599,casual
tantanahmad12,1,32.0,0.0,casual
tmblkk_,1,30.0,0.0,casual
wahid_dur,1,33.0,0.0,casual
whooppsiess,1,5.0,-0.296,casual
widiiirnssss,1,22.0,0.0,casual
